Criterion:,RSS
Dimension:,n=12,p=16
Criterion,Score
RSS(k=2),140.8611
ES2,5.2
D-Optimal(k=2),0.98141
A-Optimal(k=2),1.0406
-,+,-,-,+,-,-,+,+,+,+,+,-,+,+,+
-,+,-,-,-,+,-,+,-,+,-,-,+,-,-,-
+,-,+,+,+,+,-,+,+,+,-,+,+,-,+,+
+,+,-,+,+,-,-,-,-,-,+,+,-,-,-,-
-,+,+,+,+,+,+,-,+,-,+,-,+,+,+,-
-,-,-,-,+,+,+,-,-,-,-,+,+,+,-,+
+,+,-,+,-,-,+,-,+,+,-,-,+,+,-,+
-,+,+,+,-,-,+,+,-,-,-,+,-,-,+,+
+,-,+,+,-,+,-,+,-,-,+,-,-,+,-,+
+,-,+,-,+,-,-,-,-,+,-,-,-,+,+,-
+,-,-,-,-,-,+,+,+,-,+,-,+,-,+,-
-,-,+,-,-,+,+,-,+,+,+,+,-,-,-,-
